@relation robocall-oneshot

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
0.00050553,0.40495,-0.095195,0.013931,0.00019408,0.50015,2755.7691,21.3233,601.9985,-0.00057627,0.00014812,0.00087465,0,255.2367,56.8446,0.0011992,-0.88376,704861.5532,2.267726657188478e+183,241376.9487,32.5217,41.1266,0.14289,395.8488,362.6401,124.509,0.40495,763,1256,1527,1279,50,6.6,0.035334,0.27835,-0.54609,0.21798,0.23807,0.08189,0.15364,0.28434,0.32093,0.41677,human
0.00050587,0.40553,-0.092955,0.013784,0.00019,0.49848,2724.7887,21.9355,624.7694,-0.00059717,0.00015114,0.00089751,0,242.6494,56.9119,0.001165,-0.88732,43034041.1145,1.908467684162075e+183,240270.3827,32.9202,42.2048,0.13657,440.1423,341.6085,124.4987,0.40553,761,1268,1523,1252,52,8.7,-0.11494,0.26799,-0.52331,0.22019,0.22905,0.079487,0.15437,0.27343,0.31546,0.41891,human
0.000506,0.40411,-0.096213,0.013773,0.00018969,0.50032,2721.917,21.9976,624.9398,-0.00050916,0.00013529,0.00076491,0,244.0097,56.5465,0.0011598,-0.88507,1760912.5906,1.90094540365089e+183,246747.8932,32.8604,42.2643,0.1401,456.2171,335.4815,124.4942,0.40411,782,1316,1565,1247,34,8.6,-0.1242,0.34301,-0.58519,0.21947,0.22906,0.078504,0.15433,0.27328,0.31507,0.41834,human
0.00050726,0.40425,-0.095323,0.01384,0.00019154,0.49957,2728.3114,21.4973,607.78,-0.0005941,0.00013033,0.00087929,0,245.1597,56.272,0.0012558,-0.88935,1394896.9497,1.609713116788735e+183,240920.1693,33.4229,42.8006,0.13811,427.0137,348.6677,124.4808,0.40425,767,1230,1535,1273,50,9.5,0.18635,0.31111,-0.5519,0.2129,0.22953,0.082399,0.15471,0.28112,0.32003,0.41885,human
0.00050515,0.40382,-0.095773,0.013779,0.00018986,0.49959,2727.6938,21.8594,621.8098,-0.00049517,0.00014912,0.00081821,0,241.6515,56.4061,0.0011752,-0.8828,2798546.9826,2.267018089848867e+183,244517.5991,32.4833,41.3961,0.14366,413.8793,346.8106,124.5138,0.40382,764,1320,1529,1250,40,9.6,0.0028195,0.2167,-0.53003,0.22529,0.239,0.081883,0.15406,0.28482,0.32166,0.41788,human
0.00050511,0.4042,-0.094899,0.01385,0.00019183,0.4991,2742.0124,21.5982,611.9849,-0.00058873,0.00012449,0.00086488,0,244.0262,56.5791,0.0011854,-0.88184,80231755.6666,1.903840946762276e+183,241942.6037,34.4812,44.4856,0.13279,434.8754,346.0229,124.5161,0.4042,787,1296,1575,1232,52,7.8,0.0078572,0.29488,-0.67416,0.22109,0.23111,0.078966,0.15386,0.27279,0.31446,0.41736,human
0.0005049,0.4041,-0.09473,0.013727,0.00018843,0.49883,2718.7707,22.0429,628.8334,-0.00044501,0.00014685,0.0007477,0,237.9261,57.0591,0.0012009,-0.88307,706403.3443,1.905827185496316e+183,248184.171,32.1945,41.2196,0.14228,440.4209,335.5307,124.5155,0.4041,770,1288,1541,1246,30,8.6,-0.037599,0.23558,-0.54831,0.22129,0.23011,0.078914,0.15418,0.27299,0.31488,0.41813,human
0.00050366,0.40411,-0.094548,0.013856,0.000192,0.49866,2751.0847,21.5252,609.8205,-0.00066656,0.0001463,0.00097271,0,242.0987,56.508,0.0011917,-0.87868,24055117.1707,2.266498353007655e+183,236375.8795,35.1064,45.2293,0.13001,417.1842,353.9952,124.5339,0.40411,772,1306,1545,1238,59,8.4,-0.096284,0.25172,-0.52916,0.21867,0.23832,0.082106,0.15382,0.28447,0.32123,0.41728,human
0.00050349,0.40505,-0.094882,0.014054,0.00019751,0.49993,2791.2393,20.7528,580.7266,-0.00051543,0.00017581,0.00078462,0,238.1165,56.7471,0.0012293,-0.87605,4071630.4267,2.264923846968589e+183,244651.4198,33.9077,42.5271,0.13329,339.3767,395.293,124.5451,0.40505,752,1220,1505,1220,38,10,-0.06945,0.049144,-0.60396,0.21289,0.23985,0.081646,0.1541,0.28507,0.32187,0.41806,human
0.00050437,0.40444,-0.094577,0.013703,0.00018778,0.49901,2716.9116,22.3187,639.368,-0.00047546,0.00015603,0.0007205,0,237.9193,57.2524,0.0012554,-0.87958,18076724.0483,1.904916749368922e+183,247995.2425,30.6814,38.815,0.15033,419.1544,339.125,124.5316,0.40444,784,1328,1569,1258,33,9.1,-0.011938,0.26492,-0.56354,0.22136,0.22911,0.079149,0.15422,0.27321,0.31504,0.41818,human
0.00050235,0.40775,-0.096315,0.014175,0.00020093,0.50407,2821.6959,20.4411,570.4683,-0.00071319,0.00013527,0.0010484,0,261.3815,55.3544,0.0012039,-0.87207,4478848.9364,2.251007522336314e+183,234662.1237,35.3073,44.6958,0.13926,364.8402,392.7415,124.5604,0.40775,716,1178,1433,1231,68,4.2,0.034569,0.30807,-0.64154,0.22057,0.24462,0.082058,0.15397,0.28498,0.32177,0.41795,human
0.00050393,0.40531,-0.09503,0.013788,0.0001901,0.50034,2736.0426,22.052,628.4591,-0.0005794,0.00012757,0.00083019,0,244.375,56.6039,0.0011955,-0.87725,3277247.1851,2.261044539930675e+183,242165.8704,32.4441,41.4685,0.14217,435.0748,342.2378,124.539,0.40531,807,1346,1615,1251,54,8.7,0.011528,0.27066,-0.56329,0.21969,0.23904,0.08212,0.15396,0.28487,0.32162,0.41774,human
0.00050351,0.40569,-0.17798,0.015795,0.00024949,0.58367,3137.0435,14.9552,392.4271,-0.000531,0.00010584,0.00083859,0,243.4795,56.8837,0.001104,-0.88029,131510992333.3977,2.267134015215243e+183,243679.9816,38.5473,46.5544,0.12621,231.5243,575.4673,124.5362,0.40569,760,1258,1521,1239,45,8.4,0.065592,0.28085,-0.31424,0.22419,0.24001,0.082316,0.15373,0.28426,0.32111,0.41734,human
