@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}


@data
-1.6898e-05,0.016695,-0.030257,0.0020033,4.0131e-06,0.046952,-11855.1534,-1.261,30.4892,-0.00095169,-3.8841e-05,0.0009547,1,5.8878,54.4751,0.0015136,0.067505,3997950.6736,1.286928072534099e+184,239787.1332,65.5951,72.5539,0.013404,5.073,127.2833,125.2135,0.016695,752,1139,1504,1258,93,0.6,0.086675,0.082043,0.067889,-0.012551,-0.015844,-0.0054929,-0.0098798,-0.015846,-0.021262,-0.032562,human
-4.8949e-05,0.025986,-0.10587,0.0029841,8.9048e-06,0.13186,-6096.3547,-19.4527,672.984,-0.00095627,-5.9148e-06,0.00092106,0.9996,2.4533,52.6489,0.0017891,0.013631,6294803.4516,1.422683787843789e+184,238392.3617,54.8066,64.0289,0.024571,19.6136,166.7091,125.213,0.025986,674,927,1348,1250,98,0.1,0.028054,-0.061192,-0.084342,0.011591,0.0072278,0.00185,-0.0076891,-0.0017823,0.004719,0.016201,human
-0.0001121,0.025867,-0.11467,0.0040171,1.6137e-05,0.14054,-3583.4838,-17.6163,469.009,-0.0010225,-2.7803e-05,0.0010542,0.9992,18.4616,53.8287,0.0015183,0.15422,3409804.8588,1.445153106710634e+184,236255.0411,40.3095,51.6929,0.039492,99.9112,128.5442,125.2134,0.025867,712,1090,1423,1237,94,1,0.0783,-0.061187,0.14386,-0.054804,-0.054075,-0.018811,-0.056484,-0.071268,-0.083914,-0.11256,human
5.2862e-05,0.094638,-0.023323,0.0028289,8.0027e-06,0.11796,5351.4937,17.5067,545.6623,-0.00086933,-6.3338e-06,0.00083247,1,14.7125,54.4072,0.001712,-0.065631,483621.9937,1.240946844126449e+184,242523.7931,46.1362,57.3835,0.028076,48.8744,113.7534,125.2081,0.094638,728,1088,1457,1243,95,0.5,0.024934,0.041023,-0.053775,0.048215,0.048201,0.014066,0.041083,0.055752,0.068192,0.095821,human
-1.4304e-05,0.048562,-0.023896,0.0019401,3.7641e-06,0.072458,-13563.6539,6.0303,175.8952,-0.00092767,-1.6507e-05,0.00086302,1,5.2128,54.2634,0.0016207,0.038339,16242008.1466,1.048336979186164e+184,241896.5429,64.0904,71.8434,0.012508,5.0044,118.5967,125.2104,0.048562,737,1105,1474,1249,99,0.1,-0.064952,0.049908,0.029724,0.025317,0.022883,0.0059925,0.013323,0.021839,0.029309,0.045214,human
-6.2214e-05,0.016029,-0.06441,0.0022854,5.223e-06,0.080439,-3673.4084,-10.1894,272.834,-0.00084181,-1.1668e-05,0.00078677,1,3.4133,55.1545,0.0012939,0.099759,41379019.2626,1.501840790917743e+184,243661.219,50.8779,60.9319,0.017825,22.2245,112.3357,125.206,0.016029,741,1162,1481,1244,94,0.2,-0.039509,-0.0074799,0.042569,-0.014821,-0.014643,-0.0042077,-0.019491,-0.022272,-0.024418,-0.030408,human
-9.5266e-05,0.023434,-0.10732,0.0032639,1.0653e-05,0.13076,-3426.037,-18.0084,536.1533,-0.00092081,-3.813e-05,0.00085596,0.9996,7.5857,54.4617,0.0015123,0.12994,3921613.7057,1.402225418097864e+184,241228.3411,43.061,54.0866,0.033193,65.0734,121.7554,125.2083,0.023434,711,1084,1421,1258,97,0.1,0.06937,-0.035766,0.075939,-0.02976,-0.032543,-0.011177,-0.039231,-0.046837,-0.053162,-0.068258,human
-8.4615e-05,0.026025,-0.10996,0.0032194,1.0364e-05,0.13598,-3804.7093,-18.5046,590.7091,-0.00093696,-4.2195e-05,0.000883,0.9996,19.1715,54.3866,0.0012578,0.15957,95406714.0473,1.168155641117658e+184,239628.8077,47.444,58.6779,0.024688,49.335,134.908,125.2036,0.026025,788,1246,1575,1277,95,0.8,0.043475,-0.1269,0.14533,-0.057557,-0.054343,-0.01679,-0.04749,-0.064625,-0.079611,-0.11241,human
-5.8395e-05,0.012994,-0.045695,0.0021111,4.4566e-06,0.058689,-3615.1184,-7.6265,156.8624,-0.00091383,-2.5531e-05,0.00085966,1,5.1431,54.7126,0.0017207,0.11298,882490.5189,1.119611721306194e+184,241521.439,49.9151,60.6814,0.018561,25.4896,95.2735,125.2057,0.012994,734,1128,1467,1230,93,0.4,-0.036897,-0.032763,0.093903,-0.02505,-0.024557,-0.0069431,-0.023209,-0.030223,-0.035777,-0.048717,human
-5.5374e-05,0.011425,-0.0467,0.0020551,4.2233e-06,0.058125,-3711.2536,-8.0203,170.1345,-0.00082482,-2.9489e-05,0.00080254,1,6.4865,55.2758,0.0016169,0.10376,9921719.7256,1.153639849818429e+184,244424.7183,50.1414,60.549,0.019874,20.9492,96.2186,125.2114,0.011425,744,1104,1487,1236,95,4.1,0.075337,-0.048328,0.029018,-0.028806,-0.024154,-0.0084149,-0.023111,-0.029814,-0.035683,-0.048495,human
