@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric
@attribute sstandard_deviation numeric
@attribute svariance numeric
@attribute srange numeric
@attribute sskewness numeric
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric
@attribute irrk numeric
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
-0.000047,0.012286,-0.040888,0.001948,0.000004,0.053175,-6.7892,135.2571,-0.000914,0.000027,0.000887,0,5.0279,56.3799,0.06701,25600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202993.6453,45.6158,53.7762,0.012191,10.7702,80.3597,105.2882,0.012286,674,1347,1054,93,0.4,-0.12715,0.070485,-0.019139,-0.021122,-0.005418,-0.012232,-0.01877,-0.023794,-0.034997,robo
-0.000044,0.010879,-0.034226,0.001914,0.000004,0.045104,-4.6339,84.525,-0.000921,-0.000031,0.000887,0,3.0568,56.3717,0.068604,30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202328.8441,47.7069,55.5135,0.014773,7.6703,82.0406,105.2893,0.010879,679,1357,1049,92,1.4,0.07989,0.062427,-0.014345,-0.016737,-0.004114,-0.008859,-0.013793,-0.0175,-0.025687,robo
-0.000057,0.01197,-0.050739,0.001943,0.000004,0.062709,-10.0995,246.9137,-0.000885,0.000004,0.000843,0,2.7682,56.6359,0.079428,33300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204527.1928,46.0956,54.5822,0.013013,10.1012,79.6521,105.284,0.01197,694,1387,1022,88,3,-0.085674,0.043477,-0.011795,-0.015361,-0.00487,-0.00834,-0.012726,-0.016308,-0.023935,robo
-0.000084,0.018142,-0.073893,0.002598,0.000007,0.092036,-14.9811,392.9285,-0.000921,0.000018,0.000901,0,5.4189,56.8576,0.1125,29800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202415.6097,40.8712,49.5682,0.018917,25.5456,92.5463,105.2914,0.018142,673,1345,1026,83,3.9,0.003128,0.087937,-0.021482,-0.028201,-0.007948,-0.014159,-0.021972,-0.028002,-0.041156,robo
-0.000076,0.019513,-0.077952,0.002815,0.000008,0.097465,-10.8524,295.937,-0.001052,-0.000028,0.000983,0,9.7618,55.9465,0.13518,28600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,199240.9922,43.3943,51.373,0.026102,19.5034,109.4178,105.2852,0.019513,639,1277,1066,94,0.6,-0.053352,0.14662,-0.031495,-0.034041,-0.007339,-0.021322,-0.032813,-0.041338,-0.060791,robo
0.000157,0.26782,-0.18469,0.012683,0.000161,0.4525,3.612,212.1157,-0.000988,0.000048,0.001079,0.000476,341.1607,56.4333,-0.30491,9820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,196297.7995,51.1514,56.4783,0.056935,15.5644,617.8573,104.9898,0.26782,637,1275,1064,93,1,-0.24035,-0.33774,0.057909,0.088669,0.019278,0.050029,0.076936,0.097267,0.1428,robo
0.000044,0.038047,-0.009659,0.001794,0.000003,0.047707,6.4674,127.9417,-0.000902,-0.000011,0.00093,0,3.9753,56.6225,-0.069839,30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202656.3131,47.8246,55.8309,0.012038,6.9081,77.1918,105.2647,0.038047,666,1333,1076,84,3.5,0.044498,-0.076759,0.014429,0.018508,0.004268,0.010329,0.015982,0.020187,0.029652,robo
0.000038,0.031481,-0.005663,0.001595,0.000003,0.037143,5.2032,95.9883,-0.00083,0.00006,0.000832,0,2.4456,56.6511,-0.055122,25300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204858.626,50.1912,58.1216,0.011347,3.53,72.7992,105.2872,0.031481,683,1367,1055,72,7,0.00849,-0.043091,0.013147,0.012443,0.00393,0.007261,0.011003,0.014078,0.020662,robo
0.000038,0.03053,-0.007838,0.001611,0.000003,0.038368,4.4635,80.1866,-0.000927,0.000015,0.000911,0,3.0595,56.7268,-0.063528,30300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204585.891,50.2386,58.1557,0.011985,3.5621,72.6469,105.2696,0.03053,696,1393,1062,78,5.5,0.021536,-0.061277,0.014623,0.014539,0.003242,0.008224,0.0128,0.016157,0.023719,robo
0.000029,0.025635,-0.007992,0.001576,0.000002,0.033626,2.5984,42.0479,-0.000886,0.000012,0.000944,0,2.8355,56.1067,-0.04707,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202700.3366,52.2384,59.4627,0.011458,2.3551,74.2932,105.2763,0.025635,670,1341,1064,92,0.8,0.068106,-0.045643,0.009439,0.0123,0.002663,0.006657,0.010295,0.013056,0.019187,robo
